,application_received,application_year,council_district,address,city,zip,units_withdrawn,replacement_unit,yearbuilt,units,sqftmain,center_lat,center_lon,geometry
5201016001,8/31/07,2007,14,1910 E MARENGO ST,Los Angeles ,90033.0,2,0.0,1911.0,3.0,1779.0,34.05740174,-118.20993305,POINT (-13159069.55383296 4036512.284076141)
5202007010,12/18/19,2019,14,1120 N CORNWELL ST,LOS ANGELES ,90033.0,2,0.0,1923.0,2.0,2387.0,34.05606823,-118.20434696,POINT (-13158447.71313864 4036333.106501984)
5202014008,1/23/19,2019,14,1400 N SOTO ST,LOS ANGELES ,90033.0,3,0.0,1922.0,3.0,2442.0,34.05946608,-118.1995761,POINT (-13157916.62343279 4036789.665458655)
5202014010,6/1/16,2016,14,2435 E LANCASTER AVE,LOS ANGELES ,90033.0,2,0.0,1921.0,2.0,1250.0,34.05934072,-118.19928175,POINT (-13157883.85654067 4036772.820884671)
5207010024,8/28/14,2014,1,4123 N GRIFFIN AVE,Los Angeles ,90031.0,2,0.0,1922.0,2.0,1956.0,34.09103473,-118.20524252,POINT (-13158547.40642181 4041032.326100648)
5209035006,4/13/20,2020,14,4127 E SUPREME CT,LOS ANGELES ,90032.0,2,0.0,1960.0,0.0,2670.0,34.07738591,-118.19453467,POINT (-13157355.41401232 4039197.802387974)
5210003011,7/31/18,2018,1,2013 N WORKMAN ST,LOS ANGELES ,90031.0,2,0.0,1904.0,3.0,2688.0,34.0680283,-118.21461664,POINT (-13159590.92868684 4037940.226571608)
5210008011,7/30/19,2019,1,1848 N WORKMAN ST,LOS ANGELES ,90031.0,2,0.0,1904.0,3.0,3120.0,34.06520683,-118.21374161,POINT (-13159493.52079281 4037561.07447964)
5210024002,5/23/19,2019,1,1829 N HANCOCK ST,LOS ANGELES ,90031.0,2,0.0,90.0,2.0,1412.0,34.06555024,-118.20909204,POINT (-13158975.93302801 4037607.221600097)
5210024003,5/23/19,2019,1,3024 N NORTH MAIN ST,LOS ANGELES ,90031.0,2,0.0,95.0,3.0,2702.0,34.06570608,-118.20927647,POINT (-13158996.4636817 4037628.163297885)
5210024009,4/17/19,2019,1,1825 N HANCOCK ST,LOS ANGELES ,90031.0,2,0.0,90.0,2.0,1566.0,34.06540385,-118.20927111,POINT (-13158995.86700923 4037587.549823453)
5210024011,7/23/19,2019,1,1817 N HANCOCK ST,LOS ANGELES ,90031.0,2,0.0,54.0,2.0,2203.0,34.06525273,-118.20926847,POINT (-13158995.57312577 4037567.24246866)
5210030024,6/16/16,2016,1,3219 E BALDWIN ST,LOS ANGELES ,90031.0,2,0.0,1921.0,2.0,1863.0,34.07052677,-118.20696146,POINT (-13158738.75794731 4038275.984126202)
5211014026,12/15/15,2015,1,3620 N BROADWAY ,LOS ANGELES ,90031.0,2,0.0,1902.0,2.0,1894.0,34.07331298,-118.20169552,POINT (-13158152.55618797 4038650.421375433)
5213035012,7/19/17,2017,14,4716 E TWINING ST,LOS ANGELES ,90032.0,2,0.0,1936.0,2.0,2119.0,34.08356304,-118.18229117,POINT (-13155992.47382679 4040028.027381889)
5216008017,4/3/08,2008,14,2608 N EASTERN AVE,Los Angeles ,90032.0,3,0.0,1923.0,3.0,2106.0,34.07693787,-118.17855228,POINT (-13155576.26249586 4039137.586809347)
5218019036,10/1/14,2014,14,4936 E BARSTOW ST,Los Angeles ,90032.0,1,0.0,1926.0,4.0,2687.0,34.08270258,-118.17598326,POINT (-13155290.28049762 4039912.375319647)
5219012022,6/15/17,2017,14,3417 N CHADWICK DR,LOS ANGELES ,90032.0,2,0.0,1959.0,2.0,1375.0,34.08532757,-118.17039295,POINT (-13154667.97003505 4040265.196682646)
5229027014,3/3/17,2017,14,1014 N SENTINEL AVE,LOS ANGELES ,90063.0,2,0.0,1926.0,2.0,2142.0,34.0496332,-118.19470009,POINT (-13157373.82848248 4035468.500886362)
5302027010,11/5/18,2018,14,3716 N MONTEREY RD,LOS ANGELES ,90032.0,2,0.0,1928.0,2.0,1265.0,34.08940661,-118.18812202,POINT (-13156641.56107968 4040813.476649024)
5305024004,4/18/16,2016,14,4434 E TOPAZ ST,LOS ANGELES ,90032.0,1,0.0,1903.0,2.0,1524.0,34.08380883,-118.1921331,POINT (-13157088.07246282 4040061.063555632)
5305042003,6/14/17,2017,14,4508 E ESMERALDA ST,LOS ANGELES ,90032.0,2,4.0,1923.0,4.0,2419.0,34.08094704,-118.19190486,POINT (-13157062.66490224 4039676.421660762)
5307002040,6/12/15,2015,14,3951 N DRYSDALE AVE,LOS ANGELES ,90032.0,1,0.0,1917.0,2.0,1318.0,34.09117659,-118.17609257,POINT (-13155302.44883116 4041051.394908698)
5309024003,1/4/18,2018,14,5561 E HUNTINGTON NORTH DR,LOS ANGELES ,90032.0,4,0.0,1955.0,4.0,2272.0,34.09512539,-118.15897712,POINT (-13153397.16565247 4041582.205064171)
5309027001,2/5/20,2020,14,5646 E BERKSHIRE DR,LOS ANGELES ,90032.0,2,0.0,1909.0,1.0,2321.0,34.09735572,-118.15697132,POINT (-13153173.88101783 4041882.024003561)
5312005014,3/21/18,2018,14,6101 N TOLTEC WAY,LOS ANGELES ,90042.0,4,0.0,1947.0,4.0,2536.0,34.1070292,-118.18438329,POINT (-13156225.36755987 4043182.502634719)
5312008017,4/24/18,2018,14,5937 N MONTEREY ROAD,LOS ANGELES ,90042.0,2,0.0,1904.0,2.0,5408.0,34.10564944,-118.18469772,POINT (-13156260.36974736 4042997.002035567)
5401002023,10/22/18,2018,13,700 N LUCILE AVE,LOS ANGELES ,90026.0,2,0.0,1922.0,2.0,1480.0,34.08258465,-118.28397155,POINT (-13167311.48195206 4039896.524764232)
5401008014,5/23/19,2019,13,3415 W BELLEVUE AVE,LOS ANGELES ,90026.0,4,0.0,1923.0,4.0,2840.0,34.07970218,-118.2813873,POINT (-13167023.80455798 4039509.109000013)
5401008018,11/6/19,2019,13,617 N MICHELTORENA ST,LOS ANGELES ,90026.0,3,0.0,1925.0,3.0,2160.0,34.07987435,-118.28107116,POINT (-13166988.61201416 4039532.248982314)
5401014016,7/16/18,2018,13,631 N DILLON ST,LOS ANGELES ,90026.0,2,0.0,1924.0,2.0,1120.0,34.07934118,-118.27889063,POINT (-13166745.8765249 4039460.590051789)
5401019002,12/7/18,2018,13,714 N DILLON ST,LOS ANGELES ,90026.0,3,0.0,1918.0,4.0,2914.0,34.08029384,-118.27755723,POINT (-13166597.44311587 4039588.629449778)
5401019025,6/25/14,2014,13,3012 W MARATHON ST,Los Angeles ,90026.0,3,0.0,1923.0,3.0,2552.0,34.08063078,-118.27609488,POINT (-13166434.65505851 4039633.915200445)
5401022019,1/7/20,2020,13,3105 W BELLEVUE AVE,LOS ANGELES ,90026.0,3,0.0,1927.0,3.0,2499.0,34.07837698,-118.27834442,POINT (-13166685.07270583 4039331.001121392)
5401026014,5/22/19,2019,13,650 N PARKMAN AVE,LOS ANGELES ,90026.0,4,0.0,1926.0,4.0,4498.0,34.07859472,-118.27566891,POINT (-13166387.23629502 4039360.26535014)
5401026017,12/30/16,2016,13,636 N PARKMAN AVE,LOS ANGELES ,90026.0,2,4.0,1921.0,1.0,1008.0,34.07822804,-118.27589487,POINT (-13166412.39004716 4039310.983647368)
5401027017,8/14/17,2017,13,736 N PARKMAN AVE,LOS ANGELES ,90026.0,2,0.0,1921.0,2.0,1200.0,34.07979325,-118.27493132,POINT (-13166305.1281518 4039521.348978984)
